Modèle,RMSE_train,RMSE_test,MAE_train,MAE_test,r2_train,r2_test,gap_r2,RMSE_pct
LinearRegression,108285.0133494418,151200.2914445417,80405.4060072629,106304.10715707857,0.9755311897112525,0.9326577339917194,0.04287345571953316,11.6
Ridge (o=0.1),111005.45005542155,163488.96652466356,83539.98918943453,110861.61082804155,0.9742862895697664,0.9212665347239885,0.05301975484577792,12.5
Lasso (o=1000),111792.46601044075,166445.77713676804,85012.76105815778,118522.03070727282,0.9739203824953723,0.9183928836836323,0.05552749881174002,12.7
